Field of View,Cell ID,X,Y,Region
5,13,1333.2,987.57,SVZ
5,14,481.27,993.4,SVZ
5,15,659.27,1007.2,SVZ
5,16,1532.6,1019.5,SVZ
5,17,1864.6,1016.9,SVZ
5,18,640.93,1033.4,SVZ
5,19,1304.6,1037.8,SVZ
5,20,601.66,1058.3,SVZ
5,21,535.3,1057.4,SVZ
5,22,701.94,1068,SVZ
5,23,1249.3,1094.2,SVZ
5,24,566.2,1106.4,SVZ
5,25,1725.3,1105.9,SVZ
5,26,949.75,1115.2,SVZ
5,27,619.76,1120.4,SVZ
5,28,1559.4,1127.3,SVZ
5,29,558.61,1164.3,SVZ
5,30,1626.3,1173.6,SVZ
5,31,673.82,1178.8,SVZ
5,32,1694.5,1179.3,SVZ
5,33,1492,1194.4,SVZ
5,34,706.85,1199.7,SVZ
5,35,1576.2,1207.5,SVZ
5,36,520.72,1211.9,SVZ
5,37,581.5,1208.7,SVZ
5,38,1394.3,1222.6,SVZ
5,39,1332.6,1226.4,SVZ
5,40,1427.6,1256,SVZ
5,41,1454.8,1283.7,SVZ
5,42,821.13,1311.9,SVZ
5,43,1535.6,1336,SVZ
5,44,1480.8,1356.5,SVZ
5,45,1565.8,1362.5,SVZ
5,46,729.27,1374.3,SVZ
5,47,832.75,1377.3,SVZ
5,48,1008,1431.7,SVZ
5,49,1381.4,415.23,SVZ
5,50,1350.5,425.35,SVZ
5,51,1237.8,471.52,SVZ
5,52,1282.8,472.81,SVZ
5,53,1341.3,175.17,SVZ
5,54,1462.6,224.22,SVZ
5,55,1640.8,252.21,SVZ
5,56,1609.4,280.49,SVZ
5,57,602.76,271.27,SVZ
5,58,1291.3,288.34,SVZ
5,59,1206.6,308.55,SVZ
5,60,682.44,324.7,SVZ
5,61,1354.5,339.12,SVZ
5,62,917.27,355.88,SVZ
5,63,1625.7,369.31,SVZ
5,64,1286.1,406.16,SVZ
5,65,560.14,427.05,SVZ
5,66,782.55,463.51,SVZ
5,67,1033.2,507.38,SVZ
5,68,1845.2,511.95,SVZ
5,69,532.17,521.5,SVZ
5,70,415.9,528.74,SVZ
5,71,671.41,543.44,SVZ
5,72,1416.1,556.32,SVZ
5,73,789.24,564.4,SVZ
5,74,1366,582.24,SVZ
5,75,1822.7,601.59,SVZ
5,76,956.77,611.15,SVZ
5,77,310.11,619.77,SVZ
5,78,1147.5,632.11,SVZ
5,79,769.97,645.73,SVZ
5,80,648.65,660.05,SVZ
5,81,1771.9,695.12,SVZ
5,82,1009.1,729.56,SVZ
5,83,364.9,749.52,SVZ
5,84,1248.8,782.47,SVZ
5,85,1754.7,795.66,SVZ
5,86,1156.6,804.03,SVZ
5,87,769.09,804.48,SVZ
5,88,289.1,830.86,SVZ
5,89,197.86,841.12,SVZ
5,90,370.67,863.92,SVZ
5,91,1808.7,889.53,SVZ
5,92,334.21,912.41,SVZ
5,93,955.73,942.69,SVZ
5,94,813.56,960.42,SVZ
5,95,408.08,972.32,SVZ
5,96,376.77,1000.9,SVZ
5,97,893.65,1027.4,SVZ
5,98,354.42,1041.8,SVZ
5,99,1627.9,1080.3,SVZ
5,100,828.06,1228.6,SVZ
5,101,995.7,1248.2,SVZ
5,102,1293.6,1281.9,SVZ
5,103,991.98,1281.6,SVZ
5,104,735.77,1285.3,SVZ
5,105,935.97,1323,SVZ
5,106,1433.2,1337.3,SVZ
5,107,407.8,1444.9,SVZ
5,108,616.16,1504.9,SVZ
5,109,411.79,1530.5,SVZ
5,110,508.45,1554.9,SVZ
5,111,583.78,1594.1,SVZ
5,112,678.82,1605.7,SVZ
5,113,684.74,1666,SVZ
5,114,975.84,1676.5,SVZ
5,115,466.77,1721,SVZ
5,116,768.28,1763.1,SVZ
5,117,1544.4,254.09,SVZ
5,118,1507.1,298.37,SVZ
5,119,1569.1,325.61,SVZ
